name,id,region,county,electorate
Amber Valley,E14000533,East Midlands,Derbyshire,69510
Ashfield,E14000535,East Midlands,Nottinghamshire,77091
Bassetlaw,E14000546,East Midlands,Nottinghamshire,76796
Bolsover,E14000577,East Midlands,Derbyshire,71979
Boston and Skegness,E14000582,East Midlands,Lincolnshire,67064
Bosworth,E14000583,East Midlands,Leicestershire,79738
Broxtowe,E14000607,East Midlands,Nottinghamshire,71764
Charnwood,E14000625,East Midlands,Leicestershire,77269
Chesterfield,E14000632,East Midlands,Derbyshire,71625
Corby,E14000648,East Midlands,Northamptonshire,79775
Daventry,E14000660,East Midlands,Northamptonshire,72873
Derby North,E14000662,East Midlands,Derbyshire,69794
Derby South,E14000663,East Midlands,Derbyshire,70240
Derbyshire Dales,E14000664,East Midlands,Derbyshire,63476
Erewash,E14000695,East Midlands,Derbyshire,71943
Gainsborough,E14000707,East Midlands,Lincolnshire,74686
Gedling,E14000710,East Midlands,Nottinghamshire,70000
Grantham and Stamford,E14000714,East Midlands,Lincolnshire,81150
Harborough,E14000728,East Midlands,Leicestershire,77760
High Peak,E14000748,East Midlands,Derbyshire,73336
Kettering,E14000769,East Midlands,Northamptonshire,70155
Leicester East,E14000782,East Midlands,Leicestershire,75430
Leicester South,E14000783,East Midlands,Leicestershire,73518
Leicester West,E14000784,East Midlands,Leicestershire,63204
Lincoln,E14000792,East Midlands,Lincolnshire,74121
Loughborough,E14000797,East Midlands,Leicestershire,75217
Louth and Horncastle,E14000798,East Midlands,Lincolnshire,74870
Mansfield,E14000810,East Midlands,Nottinghamshire,77534
Mid Derbyshire,E14000814,East Midlands,Derbyshire,67477
Newark,E14000829,East Midlands,Nottinghamshire,73747
North East Derbyshire,E14000843,East Midlands,Derbyshire,71445
North West Leicestershire,E14000858,East Midlands,Leicestershire,72193
Northampton North,E14000861,East Midlands,Northamptonshire,59144
Northampton South,E14000862,East Midlands,Northamptonshire,61287
Nottingham East,E14000865,East Midlands,Nottinghamshire,60464
Nottingham North,E14000866,East Midlands,Nottinghamshire,65918
Nottingham South,E14000867,East Midlands,Nottinghamshire,68987
Rushcliffe,E14000908,East Midlands,Nottinghamshire,73278
Rutland and Melton,E14000909,East Midlands,Leicestershire,79693
Sherwood,E14000924,East Midlands,Nottinghamshire,73349
Sleaford and North Hykeham,E14000929,East Midlands,Lincolnshire,87972
South Derbyshire,E14000935,East Midlands,Derbyshire,73923
South Holland and The Deepings,E14000939,East Midlands,Lincolnshire,76460
South Leicestershire,E14000940,East Midlands,Leicestershire,76851
South Northamptonshire,E14000942,East Midlands,Northamptonshire,85781
